profiles,open,cons,extra,agree,neuro
social_timidity,10.5505618,9.573033708,9.95505618,10.86516854,9.382022472
stubbornness,12.20224719,10.78651685,11.92134831,13.08988764,12.07865169
clinginess,11.95505618,11.35955056,12.15730337,11.94382022,11.88764045
rebellion,11.50561798,11.73033708,11.57303371,12.58426966,11.98876404
coddling,11.5505618,11.68539326,11.39325843,11.78651685,10.92134831
praise,7.134831461,7.325842697,8.04494382,7.820224719,7.685393258
harshness,12.19101124,12.02247191,13.4494382,13.86516854,13.6741573
emot_autonomy,11.13483146,8.662921348,12,12.93258427,11.8988764
control,12.60674157,12.51685393,12.16853933,13.46067416,12.92134831
criticism,10.87640449,10.75280899,12,12.5505618,12.14606742
disregard,12.70786517,10.30337079,13.05617978,13.70786517,12.91011236
emot_dependence,10.26966292,11.07865169,10.02247191,10.21348315,10.14606742
poor_manners,11.4494382,10.7752809,11.96629213,13.15730337,11.98876404
self-sacrifice,9.168539326,9.730337079,10.47191011,11.14606742,10.34831461
conflict_seeking,11.96629213,11.42696629,12.83146067,13.2247191,13.26966292
undue_attn_seek,11.12359551,10.96629213,12.35955056,12.51685393,11.80898876
dishonesty,12.37078652,11.86516854,12.87640449,13.79775281,12.75280899
self_importance,11.84269663,11.80898876,12.4494382,13.28089888,12.30337079
insincerity,11.53932584,11.12359551,12.3258427,12.80898876,11.76404494
mistreat_others,12.71910112,12.11235955,13.74157303,14.3258427,13.80898876
forgiveness,10.69662921,11.11235955,11.07865169,11.75280899,10.97752809
judging,12,11.41573034,13.14606742,12.95505618,12.76404494
mistrust_sus,11.26966292,10.57303371,11.51685393,12.14606742,11.20224719
self_effacement,9.584269663,9.179775281,9.764044944,10.95505618,9.95505618
conflict_avoid,10.7752809,10.61797753,10.47191011,11.98876404,10.91011236
approval_seeking,10.7752809,10.3258427,10.59550562,11.64044944,10.38202247
selfishness,11.48314607,10.6741573,11.65168539,12.93258427,12.08988764
interruption,11.83146067,10.92134831,12.42696629,12.68539326,12.37078652
divulgence,11.48314607,11.16853933,12.5505618,12.6741573,12.64044944
feigned_knowledge,11.21348315,11.4494382,11.61797753,12.88764045,11.48314607
social_boldness,11.35955056,10.76404494,12.16853933,12.73033708,12.4494382
lack_res_soc_hier,11.51685393,10.80898876,11,12.42696629,11.03370787
complaining,12.7752809,11.98876404,12.97752809,13.25842697,12.57303371
obliviousness,11.01123596,10.29213483,11.73033708,12.51685393,11.7752809
anger_aggression,11.98876404,11.5505618,13.52808989,13.37078652,13.24719101
emot_over_express,11.29213483,10.61797753,12.14606742,12.23595506,11.82022472
moodiness,11.62921348,10.82022472,12.1011236,12.70786517,11.7752809
soft_heartedness,10.98876404,10.97752809,10.68539326,11.48314607,11.12359551
impatience,11.25842697,10.84269663,11.66292135,12.26966292,11.97752809
anxiety_worry,10.95505618,10.49438202,10.38202247,11.30337079,10.49438202
emot_under_expres,9.651685393,9.494382022,10.8988764,11.53932584,10.60674157
stress_tension,10.20224719,10.30337079,10.8988764,11.42696629,10.88764045
hard_heartedness,11.58426966,10.69662921,12.56179775,13.12359551,12.86516854
lack_motivation,12.35955056,11.47191011,12.03370787,13.12359551,12.6741573
instrument_depend,10.75280899,10.98876404,10.51685393,11.19101124,10.4494382
incompetence,10.28089888,10.12359551,10.08988764,11.23595506,10.52808989
inconsider_time,12.52808989,11.11235955,12.97752809,13.08988764,12.58426966
deflect_respons,12.15730337,12.05617978,12.16853933,13.14606742,12.83146067
fail_contact,12.03370787,10.33707865,12.04494382,12.6741573,12.61797753
disorganization,11.04494382,9.707865169,10.85393258,11.93258427,11.35955056
perfectionism,11.47191011,10.91011236,10.47191011,11.42696629,11.19101124
monitoring,10.56179775,11.33707865,10.96629213,11.8988764,11.19101124
instrument_indep,10.76404494,9.764044944,10.71910112,11.87640449,10.93258427
improper_self_pre,11.06741573,9.707865169,10.98876404,11.96629213,10.85393258
lack_initiative,9.775280899,9.876404494,10.20224719,11.48314607,10.26966292
procrastination,10.51685393,10.34831461,10.41573034,11.93258427,11.79775281
conventionality,11.24719101,9.573033708,10.86516854,11.80898876,10.91011236
emot_decision,11.21348315,10.64044944,10.74157303,11.79775281,11.19101124
risk_taking,10.12359551,10.16853933,10.58426966,11.83146067,11.69662921
optimism,10.20224719,9.842696629,9.775280899,11.21348315,10.76404494
over_accept,8.584269663,8.168539326,8.269662921,9.876404494,8.348314607
shallow_think,9.808988764,9.438202247,10.4494382,11.06741573,10.06741573
pol_incorrect,12.05617978,11.41573034,13.28089888,13.85393258,13.20224719
caution,10.73033708,10.41573034,9.921348315,9.887640449,8.898876404
lack_serious,11.25842697,10.97752809,11.60674157,12.79775281,12.06741573
gullibility,10.2247191,10.42696629,10.5505618,11.68539326,10.83146067
unconventionality,10.2247191,10.01123596,9.853932584,11.61797753,10.88764045
negativity,12.07865169,10.73033708,12.64044944,12.86516854,12.47191011
ignorance,11.08988764,10.11235955,10.51685393,11.60674157,10.57303371
skepticism,11,9.91011236,10.62921348,11.39325843,10.51685393
rat_decision,9.426966292,8.831460674,9.95505618,10.37078652,9.707865169
seriousness,10.66292135,9.606741573,11.12359551,11.50561798,10.75280899
